Nr_Proby;Algorytm;Struktura;Typ_Danych;Rozmiar;Pivot;Shell_Option;Distribution;Czas_ms
32;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.063
33;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.2122
34;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;2.9085
35;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;2.9198
36;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;2.9976
37;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;2.9888
38;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;2.9924
39;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.5468
40;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;2.9558
41;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;2.8084
42;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;2.8532
43;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.6148
44;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;2.857
45;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;2.9503
46;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.1969
47;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.6246
48;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;3.3883
49;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;2.9492
50;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending;2.9753

SREDNIA;;;;; ; ;3.40423
1;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;5.2605
2;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;6.3441
3;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;6.0276
4;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;5.3587
5;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;5.026
6;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;4.8698
7;QuickSort;Lista jednokierunkowa;int;25000;Centre;NULL;Ascending50Per;5.0515
